date,series_id,value,inflation_yoy,infl_12m_mean,infl_12m_std,infl_12m_z
2020-09-01,CPIAUCSL,259.997,1.3910228912373812,1.4564815474606845,0.7638665311529981,-0.0856938398970016
2020-10-01,CPIAUCSL,260.319,1.2303863428671624,1.414515934398062,0.7612976161278217,-0.2418628242492543
2020-11-01,CPIAUCSL,260.911,1.1757452138405844,1.3381371693128676,0.7349896468958305,-0.2209445482098048
2020-12-01,CPIAUCSL,262.045,1.3204191315779434,1.2548781411141594,0.6730849122920078,0.0973740300322614
2021-01-01,CPIAUCSL,262.687,1.3738437137002402,1.1527177858520792,0.5413488453870303,0.4084721519819071
2021-02-01,CPIAUCSL,263.579,1.6698167791706853,1.0967594608030096,0.4409980061753877,1.299455576540106
2021-03-01,CPIAUCSL,264.961,2.6678187820641908,1.1945743622841158,0.6143650808257892,2.397995045225937
2021-04-01,CPIAUCSL,266.614,4.133077115360573,1.512910180727404,0.9648397780893578,2.715649783658177
2021-05-01,CPIAUCSL,268.383,4.918257089467626,1.906248162884301,1.2643292189716089,2.3822979658994665
2021-06-01,CPIAUCSL,270.654,5.295632620349999,2.287829524314881,1.5140422336389376,1.9866044877797024
2021-07-01,CPIAUCSL,271.903,5.245169381309234,2.641854909208167,1.6604002519190468,1.567883688943208
2021-08-01,CPIAUCSL,272.676,5.152015301793966,2.964433696894966,1.7388605532937438,1.258054650072595
2021-09-01,CPIAUCSL,273.91,5.351215590949132,3.294449755204278,1.7841387125429469,1.1528060129435391
2021-10-01,CPIAUCSL,276.55,6.235042390298062,3.71150442582352,1.837056600541748,1.373685472581711
2021-11-01,CPIAUCSL,278.919,6.901970403700863,4.188689858311876,1.8599697706821148,1.4587766898996075
2021-12-01,CPIAUCSL,280.845,7.174340285065539,4.676516621102508,1.8107384008835872,1.3794503185795175
2022-01-01,CPIAUCSL,282.543,7.558805726967832,5.1919301222081415,1.6722592479499796,1.4153759996610815
2022-02-01,CPIAUCSL,284.5,7.937278766517819,5.714218621153736,1.45532485984777,1.527535333655071
2022-03-01,CPIAUCSL,287.674,8.572204966013853,6.206250803149541,1.3353536149231104,1.7717809997470544
2022-04-01,CPIAUCSL,288.561,8.231750770777225,6.547806941100929,1.284611003290836,1.3108589490222908
2022-05-01,CPIAUCSL,291.298,8.538171195642065,6.849466449948799,1.291537868613989,1.3075146975794802
2022-06-01,CPIAUCSL,294.957,8.979361103105798,7.156443823511783,1.3231298488102985,1.3777312039578768
2022-07-01,CPIAUCSL,294.913,8.462576727730099,7.424561102380188,1.2314774943499336,0.8429026353403671
2022-08-01,CPIAUCSL,295.097,8.222579178218826,7.680441425415592,1.036223648080189,0.5231860456067111
2022-09-01,CPIAUCSL,296.349,8.192106896425821,7.917182367538651,0.7664347476159646,0.3587057211880568
2022-10-01,CPIAUCSL,298.007,7.758813957693,8.04416333148823,0.5810236897047225,-0.4911148699293908
2022-11-01,CPIAUCSL,298.786,7.122856456533988,8.062570502557655,0.5470525661949835,-1.7177765064879138
2022-12-01,CPIAUCSL,298.832,6.404600402357152,7.998425512331956,0.6771099799150256,-2.3538644492801915
2023-01-01,CPIAUCSL,300.42,6.327178517960097,7.895789911581311,0.8152263111565169,-1.9241422561495976
2023-02-01,CPIAUCSL,301.45,5.957820738137087,7.730835075882918,0.9747909724275544,-1.8188661855684136
2023-03-01,CPIAUCSL,301.821,4.917719362889961,7.426294608955927,1.2074555633587067,-2.0775714835318766
2023-04-01,CPIAUCSL,302.845,4.950079879124369,7.152822034651522,1.3564911850889854,-1.6238529079587447
2023-05-01,CPIAUCSL,303.334,4.131851231385042,6.78562870429677,1.5184948967298892,-1.747636741240747
2023-06-01,CPIAUCSL,304.014,3.070617072997095,6.293233368454378,1.6770344013250484,-1.9216160938088385
2023-07-01,CPIAUCSL,304.609,3.287749268428297,5.861997746845895,1.7283095480767527,-1.4894603118302496
2023-08-01,CPIAUCSL,306.082,3.722504803505289,5.4869915489531,1.6623822340907013,-1.0614205982614815
2023-09-01,CPIAUCSL,307.276,3.687206638119256,5.111583194094219,1.5108655299199425,-0.9427553463678784
2023-10-01,CPIAUCSL,307.696,3.2512659098611785,4.7359541901082345,1.3586868566330752,-1.0927376481187294
2023-11-01,CPIAUCSL,308.148,3.133346274591186,4.403495008279667,1.2143949145930544,-1.045910781102134
2023-12-01,CPIAUCSL,308.741,3.3159099427102934,4.146104136642429,1.083223501487231,-0.7664108033035714
2024-01-01,CPIAUCSL,309.698,3.0883429864855705,3.876201175686219,0.8929389557353496,-0.882320324519647
2024-02-01,CPIAUCSL,310.967,3.157074141648697,3.642805625978853,0.6518180753901518,-0.7451948675087237
2024-03-01,CPIAUCSL,312.345,3.4868349120836584,3.5235652550783274,0.5265219428208616,-0.0697603271724722
2024-04-01,CPIAUCSL,313.023,3.3607951262196734,3.3911248590029364,0.3038323160536669,-0.0998239199081962
